Distance,Time
100,0.29
100,0.31
100,0.25
100,0.29
100,0.32
100,0.35
100,0.3
110,0.28
110,0.38
110,0.45
110,0.32
110,0.34
110,0.35
110,0.35
120,0.42
120,0.38
120,0.33
120,0.3
120,0.34
120,0.39
120,0.41
130,0.47
130,0.41
130,0.42
130,0.44
130,0.47
130,0.44
140,0.44
140,0.44
140,0.42
140,0.47
140,0.47
140,0.46
150,0.47
150,0.5
150,0.54
150,0.4
150,0.49
150,0.41
160,0.57
160,0.51
160,0.5
160,0.45
160,0.51
160,0.48
170,0.52
170,0.51
170,0.57
170,0.55
170,0.47
170,0.5
180,0.55
180,0.51
180,0.6
180,0.51
180,0.51
180,0.55
